Obs,sampleno,month,day,year,metal,type,siteno,conc1,conc,MDL
223,3,December,7,2018,Ni,W,2,BDL,0.03105295,0.0621059
224,4,December,7,2018,Ni,W,3,BDL,0.03105295,0.0621059
225,5,December,7,2018,Ni,W,4,BDL,0.03105295,0.0621059
226,7,December,7,2018,Ni,W,5,BDL,0.03105295,0.0621059
227,8,December,7,2018,Ni,W,6,BDL,0.03105295,0.0621059
228,9,December,7,2018,Ni,W,7,BDL,0.03105295,0.0621059
229,10,December,7,2018,Ni,W,8,0.26,0.26,0.0621059
230,11,December,7,2018,Ni,W,9,BDL,0.03105295,0.0621059
231,12,December,7,2018,Ni,W,10,BDL,0.03105295,0.0621059
232,14,December,7,2018,Ni,W,11,BDL,0.03105295,0.0621059
233,15,December,7,2018,Ni,W,12,BDL,0.03105295,0.0621059
234,16,December,7,2018,Ni,W,13,BDL,0.03105295,0.0621059
235,103,December,7,2018,Pb,F,1,BDL,0.792800191,1.585600382
236,104,December,7,2018,Pb,F,2,BDL,0.792800191,1.585600382
237,106,December,7,2018,Pb,F,3,BDL,0.792800191,1.585600382
238,107,December,7,2018,Pb,F,4,BDL,0.792800191,1.585600382
239,108,December,7,2018,Pb,F,5,BDL,0.792800191,1.585600382
240,109,December,7,2018,Pb,F,6,BDL,0.792800191,1.585600382
241,111,December,7,2018,Pb,F,7,BDL,0.792800191,1.585600382
242,112,December,7,2018,Pb,F,8,BDL,0.792800191,1.585600382
243,113,December,7,2018,Pb,F,9,BDL,0.792800191,1.585600382
244,114,December,7,2018,Pb,F,10,BDL,0.792800191,1.585600382
245,115,December,7,2018,Pb,F,11,BDL,0.792800191,1.585600382
246,117,December,7,2018,Pb,F,12,BDL,0.792800191,1.585600382
247,118,December,7,2018,Pb,F,13,BDL,0.792800191,1.585600382
248,1,December,7,2018,Pb,W,1,BDL,0.792800191,1.585600382
249,3,December,7,2018,Pb,W,2,BDL,0.792800191,1.585600382
250,4,December,7,2018,Pb,W,3,BDL,0.792800191,1.585600382
251,5,December,7,2018,Pb,W,4,BDL,0.792800191,1.585600382
